id,year,title,authors,venue,publication_status,topic,summary,reading_depth,url,pdf_url,local_pdf,redistribution_license,version_note
jouppi2017,2017,In-Datacenter Performance Analysis of a Tensor Processing Unit,Norman P. Jouppi et al.,ISCA,published,"Systolic algorithms, storage and performance",Analyzes a deployed TPU and supplies a concrete systolic-accelerator comparison point.,discovery,https://arxiv.org/abs/1704.04760,https://arxiv.org/pdf/1704.04760v1,,,
prabhakar2017,2017,Plasticine: A Reconfigurable Architecture for Parallel Patterns,Raghu Prabhakar; Yaqi Zhang; David Koeplinger; Matt Feldman; Tian Zhao; Stefan Hadjis; Ardavan Pedram; Christos Kozyrakis; Kunle Olukotun,ISCA,published,"Systolic algorithms, storage and performance",Explores a reconfigurable spatial architecture organized around parallel computation patterns.,discovery,https://ppl.stanford.edu/papers/isca17-raghu-plasticine.pdf,https://ppl.stanford.edu/papers/isca17-raghu-plasticine.pdf,,,
abadi2016,2016,TensorFlow: A System for Large-Scale Machine Learning,Martin Abadi et al.,OSDI,published,Programming models and compiler infrastructure,Explains a graph-based machine-learning system spanning heterogeneous and distributed execution.,discovery,https://www.usenix.org/conference/osdi16/technical-sessions/presentation/abadi/,https://www.usenix.org/system/files/conference/osdi16/osdi16-abadi.pdf,,,
ragankelley2013,2013,"Halide: A Language and Compiler for Optimizing Parallelism, Locality, and Recomputation in Image Processing Pipelines",Jonathan Ragan-Kelley; Connelly Barnes; Andrew Adams; Sylvain Paris; Frédo Durand; Saman Amarasinghe,PLDI,published,Programming models and compiler infrastructure,"Separates image-processing algorithms from schedules controlling parallelism, locality and recomputation.",discovery,https://people.csail.mit.edu/jrk/halide-pldi13.pdf,https://people.csail.mit.edu/jrk/halide-pldi13.pdf,,,
williams2009,2009,Roofline: An Insightful Visual Performance Model for Multicore Architectures,Samuel Williams; Andrew Waterman; David Patterson,CACM,published,"Systolic algorithms, storage and performance",Relates attainable performance to compute throughput and data-movement intensity.,discovery,https://doi.org/10.1145/1498765.1498785,https://crd.lbl.gov/assets/pubs_presos/roofline/roofline-CACM.pdf,,,
thies2002,2002,StreamIt: A Language for Streaming Applications,William Thies; Michal Karczmarek; Saman Amarasinghe,CC,published,"Foundations: semantics, actors and streams","Introduces structured stream programming with filters, pipelines and feedback.",discovery,https://groups.csail.mit.edu/cag/streamit/papers/streamit-cc.pdf,https://groups.csail.mit.edu/cag/streamit/papers/streamit-cc.pdf,,,
carloni2001,2001,Theory of Latency-Insensitive Design,Luca P. Carloni; Kenneth L. McMillan; Alberto L. Sangiovanni-Vincentelli,IEEE TCAD,published,"Foundations: semantics, actors and streams",Provides a framework for composing synchronous components despite variable communication latency.,discovery,https://www.cs.columbia.edu/~luca/research/lipTransactions.pdf,https://www.cs.columbia.edu/~luca/research/lipTransactions.pdf,,,
lee1987static,1987,Static Scheduling of Synchronous Data Flow Programs for Digital Signal Processing,Edward A. Lee; David G. Messerschmitt,IEEE TC,published,"Foundations: semantics, actors and streams",Develops static scheduling theory for networks with fixed production and consumption rates.,discovery,https://ptolemy.berkeley.edu/publications/papers/87/staticscheduling/,https://ptolemy.berkeley.edu/publications/papers/87/staticscheduling/staticscheduling.pdf,,,
kung1982,1982,Why Systolic Architectures?,H. T. Kung,IEEE Computer,published,"Systolic algorithms, storage and performance","Explains systolic locality and why different space-time schedules trade I/O, storage and utilization.",full_main_text,https://www.eecs.harvard.edu/~htk/publication/1982-kung-why-systolic-architecture.pdf,https://www.eecs.harvard.edu/~htk/publication/1982-kung-why-systolic-architecture.pdf,,,
hong1981,1981,I/O Complexity: The Red-Blue Pebble Game,Jia-Wei Hong; H. T. Kung,STOC,published,"Systolic algorithms, storage and performance",Provides an I/O-complexity model for reasoning about computation under limited fast storage.,discovery,https://perso.ens-lyon.fr/loris.marchal/docs-data-aware/hong_kung_red_blue_pebble_game_STOC81.pdf,https://perso.ens-lyon.fr/loris.marchal/docs-data-aware/hong_kung_red_blue_pebble_game_STOC81.pdf,,,
dennis1975,1975,A Preliminary Architecture for a Basic Data-Flow Processor,Jack B. Dennis; David P. Misunas,ISCA,published,"Foundations: semantics, actors and streams","Describes an early data-driven processor with explicit actors, control and feedback.",full_main_text,https://www.cs.cmu.edu/~15740-f20/papers/dennis-75.pdf,https://www.cs.cmu.edu/~15740-f20/papers/dennis-75.pdf,,,
kahn1974,1974,The Semantics of a Simple Language for Parallel Programming,Gilles Kahn,IFIP,published,"Foundations: semantics, actors and streams",Defines deterministic parallel computation through stream histories and process networks.,full_main_text,https://www.cs.columbia.edu/~sedwards/papers/kahn1974semantics.pdf,https://www.cs.columbia.edu/~sedwards/papers/kahn1974semantics.pdf,,,
flynn1972,1972,Some Computer Organizations and Their Effectiveness,Michael J. Flynn,IEEE TC,published,"Foundations: semantics, actors and streams",Introduces the instruction/data-stream taxonomy that makes MIMD a precise architectural term.,discovery,https://users.cs.utah.edu/~hari/teaching/paralg/Flynn72.pdf,https://users.cs.utah.edu/~hari/teaching/paralg/Flynn72.pdf,,,
